Record start time	t (s)	P0 (Pa)	P1 (Pa)	P2 (Pa)	P3 (Pa)	P4 (Pa)	P5 (Pa)	P6 (Pa)
								
20/01/2022 16:46:21	0	-40.18	-82.40245	-76.8227	-82.83725	-42.62975	-8.80625	-68.99375
21/01/2022 16:46:21	1	-67.5156	-160.3019	-151.9915	-161.9009	-81.6267	-8.3288	-130.8635
22/01/2022 16:46:21	2	-53.676	-155.6502	-151.2138	-159.4153	-79.2174	1.2862	-124.2551
23/01/2022 16:46:21	3	-38.8265	-147.8611	-147.7979	-154.0542	-75.6617	10.8773	-115.358
24/01/2022 16:46:21	4	-24.0912	-138.9537	-144.022	-148.2033	-72.3816	19.8527	-105.9444
25/01/2022 16:46:21	5	-9.562	-129.1581	-140.105	-142.493	-69.7041	28.1832	-96.5056
26/01/2022 16:46:21	6	4.8291	-118.5499	-136.4018	-137.2698	-67.3634	36.1923	-86.9726
27/01/2022 16:46:21	7	17.5565	-107.6159	-132.6604	-132.8008	-66.412	42.0279	-78.4047
28/01/2022 16:46:21	8	28.3665	-96.9381	-129.756	-129.9294	-67.5869	45.3107	-71.4603
29/01/2022 16:46:21	9	38.1227	-87.0162	-127.8359	-128.6224	-69.8269	47.7379	-66.0028
30/01/2022 16:46:21	10	47.1658	-74.51	-123.0764	-125.0487	-71.0677	48.797	-59.6164
31/01/2022 16:46:21	11	55.1924	-63.5902	-120.4815	-123.8062	-73.979	48.9232	-55.4577
01/02/2022 16:46:21	12	60.3411	-53.9265	-118.804	-123.4802	-78.0297	46.1303	-53.236
02/02/2022 16:46:21	13	64.9148	-45.7226	-119.3838	-125.5124	-83.4758	42.6573	-52.9546
03/02/2022 16:46:21	14	67.5594	-36.5097	-118.0199	-125.9325	-88.3711	36.9529	-52.9343
04/02/2022 16:46:21	15	68.8237	-29.4453	-118.3626	-127.7853	-94.0856	30.2357	-54.8156
05/02/2022 16:46:21	16	69.4705	-21.8129	-117.3641	-128.5677	-99.0668	22.7826	-56.4951
06/02/2022 16:46:21	17	69.7604	-14.8274	-117.0014	-130.2254	-104.366	14.8641	-58.587
07/02/2022 16:46:21	18	68.6466	-8.8653	-116.6553	-131.6859	-108.9708	6.164	-60.7778
08/02/2022 16:46:21	19	68.2187	-2.6067	-115.8567	-132.6178	-112.4457	-1.6662	-61.8932
09/02/2022 16:46:21	20	66.8956	3.4795	-114.2557	-132.8236	-115.3475	-10.1906	-62.7684
10/02/2022 16:46:21	21	65.5036	9.1304	-112.9038	-133.8201	-118.9664	-19.1026	-63.9691
