Record start time	t (s)	Thermistor (degC)	P_atmos (Pa)	Rel. Humidity (%)	Density (kg/m^3)	Dew point (degC)	Pressure alt. (m)	Density alt. (m)	Env. sensor temp. (degC)	w_x (dps)	w_y (dps)	w_z (dps)	a_x (g)	a_y (g)	a_z (g)	Inl. sensor temp. (degC)	Stale sample
																	
12/02/2022 22:46:23	0.000000	19.6530	99200.3906	30.4707	1.1771	1.8278	178.3823	413.3752	24.7900	0.0975	-0.0332	-0.0553	0.0022	0.0291	1.0005	23.7871	0
12/02/2022 22:46:23	1.000000	19.6905	99200.2969	30.2217	1.1770	1.7458	178.3903	414.5476	24.7900	0.0785	-0.0409	-0.0477	0.0022	0.0295	1.0016	23.7637	0
12/02/2022 22:46:23	2.000000	19.6981	99200.0625	30.1504	1.1769	1.7194	178.4101	414.7855	24.7900	0.0632	-0.0371	-0.0401	0.0024	0.0299	0.9992	23.7500	0
12/02/2022 22:46:23	3.000000	19.7118	99199.6562	30.2100	1.1769	1.7588	178.4445	415.3897	24.7900	0.0823	-0.0599	-0.0439	0.0026	0.0294	1.0028	23.7617	0
12/02/2022 22:46:23	4.000000	19.7143	99200.3437	30.3408	1.1769	1.8213	178.3863	415.5294	24.7900	0.0632	-0.0256	-0.0477	0.0028	0.0294	1.0014	23.7383	0
12/02/2022 22:46:23	5.000000	19.6993	99199.3125	30.2334	1.1769	1.7588	178.4736	414.9847	24.7900	0.0899	-0.0447	-0.0210	0.0028	0.0294	1.0015	23.7383	0
12/02/2022 22:46:23	6.000000	19.7031	99197.6484	30.2217	1.1769	1.7566	178.6146	415.2865	24.7800	0.0670	-0.0332	-0.0591	0.0039	0.0295	1.0021	23.7305	0
12/02/2022 22:46:23	7.000000	19.6780	99197.4219	30.3389	1.1770	1.7889	178.6337	414.4906	24.7800	0.0556	-0.0409	-0.0706	0.0024	0.0286	1.0053	23.7285	0
12/02/2022 22:46:23	8.000000	19.5929	99197.7031	30.4697	1.1773	1.7752	178.6099	411.4340	24.7800	0.0556	-0.0447	-0.0515	0.0021	0.0304	0.9997	23.7891	0
12/02/2022 22:46:23	9.000000	19.5728	99197.4297	30.5527	1.1774	1.7958	178.6331	410.7972	24.7700	0.0441	-0.0294	-0.0477	0.0035	0.0294	1.0019	23.7012	0
12/02/2022 22:46:23	10.000000	19.5240	99196.6875	30.6113	1.1776	1.7802	178.6959	409.1208	24.7700	0.0632	-0.0485	-0.0401	0.0031	0.0294	1.0048	23.7266	0
12/02/2022 22:46:23	11.000000	19.5052	99195.3594	30.6592	1.1776	1.7857	178.8084	408.6086	24.7700	0.0861	-0.0256	-0.0324	0.0024	0.0293	1.0008	23.6973	0
12/02/2022 22:46:23	12.000000	19.4990	99195.8125	30.6465	1.1777	1.7745	178.7700	408.3188	24.7600	0.0823	-0.0599	-0.0477	0.0043	0.0297	0.9992	23.7598	0
12/02/2022 22:46:23	13.000000	19.5128	99196.8437	30.4336	1.1777	1.6892	178.6827	408.5303	24.7600	0.0937	-0.0485	-0.0629	0.0038	0.0294	1.0023	23.7422	0
